created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
08-12-2021,71,43,2,1,,1,Kabupaten Bekasi,SHM,1300,,550000000,Rumah murah di metland cibitung bekasi - Dijual: Rumah & Apartemen - 840087312 (olx.co.id),"Selangkah ke stasiun krl telaga murni, Dekat dengan kawasan industri mm 2100, gobel, jababeka, ejip dan tol baru yaitu toll jorr 2 cilincing dan cimanggis,segera dibangun mall di dalam kawasan metland cibitung, dekat dengan rs. hermina yang berada di dalam kawasan metland cibitung, sistem keamanan 24 jam cctv, air bersih dan kencang wtp aetra, listrik token 1300watt, dan di kelola oleh badan pengelola lingkungan bpl kebersihan terpadu",,,,,,,,,,,,
08-12-2021,59,60,2,1,,1,Kabupaten Bekasi,SHM,,,440000000,Rumah dijual di Griya gandasari cibitung - Dijual: Rumah & Apartemen - 840088652 (olx.co.id),"Rumah sangat nyaman,dan terbukti bebas banjir, Lokasi perumahan juga sangat strategis. keamanan 24 jam (akses keluar masuk satu pintu), lokasi sangat strategis karna dekat dengan Jl. raya Pantura, Ramayana, Minimarket, Kawasan Industri, Toll Cibitung, Pasar tradisional.",,,,,,,,,,,,
08-12-2021,124,95,2,1,,1,Kabupaten Bekasi,SHM,,,699000000,Jual cepat rumah huuk di metland cibitung bekasi - Dijual: Rumah & Apartemen - 840592462 (olx.co.id),"Bebas banjir, Carport dan tanah luas ada taman nya ,tempat sejuk, Pasilitas di Metland Cibitung, Deket dengan stasiun, Deket dengan Rumah sakit, Deket dengan sekolah TK SMP ,SMA , waaaaooooo bget fasilitas nya, TDK harus pergi jauh cari sekolah,  Deket dengan pertokoan juga ,,,seru dan pas bsnget kl punya rmh di Metland Cibitung , penasaran kan jgn LP wa yaaa di tunggu, INFO LEBIH LANJUT HUBUNGI",,,,,,,,,,,,
08-12-2021,144,100,2,1,,1,Kabupaten Bekasi,SHM,2200,Selatan,1350000000,https://www.realoka.com/216243-rumah-rapi-siap-huni-cluster-aralia-perumahan-harapan-indah-bekasi,"(Harapan Indah) Cluster Aralia Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.350.000.000,- Nego
Sertifikat Hak Milik
Luas tanah: 144 m2 (8x18 meter); Luas bangunan: 100 m2; Jumlah lantai: 1 lantai
Kamar tidur: 2+1 kamar tidur; Kamar mandi: 1+1 kamar mandi; Carport: 1 mobil; Listrik: 2200 watt; Sumber air: PDAM; Bangunan menghadap: Selatan
~ Bangunan Rumah rapi dan siap huni
~ Lingkungan nyaman dan aman
~ Jalan depan rumah lebar bisa 3 mobil
~ Cluster One Gate System, kemanan 24 jam
~ Tidak banjir
~ Bisa KPR",,,,,,,,,,,,
08-12-2021,108,100,3,2,,1,Kabupaten Bekasi,SHM,2200,Timur,1400000000,https://www.realoka.com/207964-jual-rumah-bagus-siap-huni-cluster-harmoni-harapan-indah-bekasi,"(Harapan Indah) Cluster Harmoni Perumahan Kota Harapan Indah Bekasi, Desa Pusaka Rakyat, Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.400.000.000,- Nego
Sertifikat Hak Milik
Luas tanah: 108 m2; Luas bangunan: 100 m2; Jumlah lantai: 2 Lantai; Kamar tidur: 3 kamar tidur; Kamar mandi: 2 Kamar mandi; Carport: 1 Mobil; Listrik: 2200 watt; Sumber air: PDAM; Bangunan menghadap: Timur
~ Bangunan bagus, rapi dan siap huni
~ Cluster One Gate System, keamanan 24 jam
~ Akses jalan bisa 3 mobil
~ Tidak banjir
~ Bisa KPR",,,,,,,,,,,,
08-12-2021,160,230,4,4,1,,Kabupaten Bekasi,SHM,5500,Selatan,1850000000,https://www.realoka.com/208348-rumah-luas-hadap-taman-cluster-aralia-perumahan-harapan-indah-bekasi,"(Harapan Indah) Cluster Aralia Perumahan Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.850.000.000,- Nego
Sertifikat Hak Milik
Kamar tidur: 4+1 kamar tidur; Kamar mandi: 4+1 kamar mandi; Garasi: Carport 1 Mobil; Luas tanah: 160 m2 (8x20 meter); Luas bangunan: 230 m2; Jumlah lantai: 2 Lantai; Listrik: 5500 watt; Sumber air: PDAM; Bangunan menghadap: Selatan
~ Kondisi Rumah bagus, rapi dan siap huni
~ Cluster One Gate System keamanan 24 jam
~ Rangka atap baja ringan
~ Rumah hadap taman
~ Jalan depan rumah lebar dan 2 lajur
~ Tidak banjir
~ Bisa KPR",,,,,,,,,,,,
08-12-2021,144,157,3,3,,1,Kabupaten Bekasi,HGB,2200,Selatan,2100000000,https://www.realoka.com/215784-rumah-cluster-asera-one-south-perumahan-kota-harapan-indah-bekasi,"(Harapan Indah) Cluster Asera One South, Perumahan Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 2.100.000.000,- Nego
Sertifikat Hak Guna Bangunan
Luas tanah: 144 m2 (8x18 meter); Luas bangunan: 157 m2; Jumlah lantai: 2 lantai; Kamar tidur: 3+1 kamar Tidur; Kamar mandi: 3+1 kamar tidur; Listrik: 2200 watt; Sumber air: PDAM; Carport: 1 mobil; Bangunan menghadap: Selatan
~ Kondisi Rumah masih tersewa sampai dengan bulan Agustus 2022
~ Lokasi rumah dekat dengan Pos Kemanan dan Club House
~ Asera One South adalah Cluster Premium dengan desain yang mewah, lingkungan yang nyaman dengan di lengkapi : 1. Security 24 jam; 2. Club house di dalam cluster; 3. Fasilitas taman bermain anak; 4. Listrik underground; 5. Canopy
~ Tidak banjir",,,,,,,,,,,,
07-12-2021,336,200,4,3,,1,Kabupaten Bekasi,HGB,5500,,4200000000,https://www.99.co/id/properti/rumah-cluster-pasadena-deltamas-cikarang-luas-336200-rp-42-milyar-4-1-kt-3-1-km-siap-huni-49671080874,"Harga Rp 4,2 Miliyar ( Nego ); Luas Tanah 336 m; Luas Bangunan 200 m; 4 + 1 Kamar Tidur; 3 + 1 Kamar Mandi; 2 Lantai; Carport; Taman; Listrik 5.500 Watt
Lokasi paling dekat dengan Fasilitas Swimming Pool Cluster
Row Jalan Lebar
Lokasi terletak di Cluster Pasadena, Zona Amerika, Kota Deltamas , Cikarang Pusat , Kabupaten Bekasi.
Cluster Favourite , Instalasi sudah Under Ground ,dan ada Fasilitas Kolam renang Bagi Penghuni Cluster , One Gate System , Keamanan 24 Jam.
Pengembang Sinar Mas Land. Kota Deltamas Merupakan Residential yang mempunyai akses Tol Langsung Jakarta Cikampek KM 37. Bisa juga melalui Kases Tol 34 Cibatu yang melewwati Meikarta.
Sudah di buka akses ke Lippo Cikarang, Meikarta dan Jababeka.
Sudah Ramai Penduduk, Fasilitas sudah ada Perbankan ( Mandiri, BNI, BJB, BCA dll ) , Hotel, Pusat Pemerintahan Kabupaten Bekasi , Tempat Kuliner, Mc Donald .
Cocok untuk Hunian dan Investasi ( disewakan )",,,,,,,,,,,,
07-12-2021,119,170,5,3,,1,Kabupaten Bekasi,SHM,2200,,975000000,https://www.99.co/id/properti/rumah-riviera-deltamas-cikarang-2-lt-luas-119170-rp-975-jt-5-kt-3-km-72957329047,"Rp 975 Jt 2 Lantai Luas Tanah 119 m Luas Bangunan 170 m 5 Kamar Tidur 3 Kamar Mandi Listrik 2.200 Watt Air WTP Kota Deltamas Sertifikat Hak Milik Siap Huni Lokasi di Cluster Riviera, Kota Deltamas, Cikarang Pusat, Kabupaten Bekasi. Satu2nya Cluster yang paling dekat dengan tempat ibadah dan dekat dengan Ruko ruko serta pertokoan yang menjual berbagai makanan, Toko Pakaian, Laundry , Minimarket dan lainnya. Cluster yang paling dekat dengan Sekolah Pangudi Luhur, One Gate System , Keamanan 24 Jam. Pengembang Sinar Mas Land. Kota Deltamas Merupakan Residential yang mempunyai akses Tol Langsung Jakarta Cikampek KM 37. Bisa juga melalui Kases Tol 34 Cibatu yang melewwati Meikarta. Sudah di buka akses ke Lippo Cikarang, Meikarta dan Jababeka. Sudah Ramai Penduduk, Fasilitas sudah ada Perbankan ( Mandiri, BNI, BJB, BCA dll ) , Hotel, Pusat Pemerintahan Kabupaten Bekasi , Tempat Kuliner, Mc Donald .",,,,,,,,,,,,
06-12-2021,102,132,3,2,,1,Kota Bekasi,SHM,1300,,685000000,https://www.rumah123.com/properti/bekasi/hos9290930/,"Rumah Siap Huni Aman dan Nyaman, lingkungan yang sangat asri, lokasi bebas banjir dan strategis, Luas Tanah 102 m, Luas Bangunan 132 m, Kamar Tidur 3, Kamar Mandi 2, Rumah 2 Lantai, Lantai Atas Terdapat 1 kamar Tidur, Ruang Cuci, Ruang Setrika dan Tempat Jemuran, Lantai Bawah Terdapat 2 Kamar Tidur, 2 Kamar Mandi, Ruang Tamu, Ruang Keluarga dan Dapur, Baja Ringan, Tembok Bata Merah, Jalanan Cor Muat 3 Mobil, Sertifikat SHM, Harga 685 Juta ( Nego ), Terima Rumah Indent 8 minggu selesai",,,,,,,,,,,,
06-12-2021,85,68,3,2,1,,Kota Bekasi,SHM,2200,Utara,984000000,https://rumahdijual.com/10030787,"Town house bergaya minimalis modern FREE BIAYA BIAYA di Jatiluhur Jatiasih kota Bekasi, hanya 15 menit dari tol jorr Jatiasih, akses tol lainnya adalah tol jorr Jatiwarna, transportasi Umum lainnya : angkot KC.A (Jatisari - Pondok Gede). Lokasi cluster masih Asri, Nyaman, dan Aman serta Bebas Banjir.",,,,,,,,,,,,
06-12-2021,72,50,2,1,,1,Kota Bekasi,SHM,1300,,475000000,https://rumahdijual.com/11760856,"Dijual Rumah Di Mutiara Gading City Bekasi. LT 72 M2, LB 50 M2, KT 2, KM 1, Carport, Air = Pam, Listrik = 1300, SHM. Harga 475jt
",,,,,,,,,,,,
06-12-2021,60,63,3,2,,1,Kota Bekasi,SHM,2200,,742000000,https://www.rumah123.com/properti/bekasi/hos9293124/,"Rumah 2 Lantai type 63/60 di Jatiasih Kota Bekasi: 3 kt 2 km, Carport, Keunggulan Lokasi: Dekat dengan berbagai fasilitas yang menunjang kebutuhan sehari-hari.
Fasilitas Ibadah: 250 M KE MASJID JAMI AL-BADRIYAH, 650 M MASJID SITI RAWANI, 1,7 KM MASJID BAITURRAHMAN, 4,9 KM MASJID JAMI MIFTAHUL JANNAH, 5 KM MASJID AL FALAH, 6,8 KM MASJID BAITUL JIHAD
Fasilitas Pendidikan: 650 M MADRASAH DINIYAH AL IKHLAS, 650 M SEKOLAH ALAM NATUR ISLAM, 750 M PERGURUAN ISLAM AL-FAJAR, 1 KM SMK TRISAKA, 5,8 KM TKI / SDI AL-AZHAR JATIKRAMAT
Fasilitas Komersil: 1,6 KM PASAR BARU JATIASIH, 3,4 KM SUPERINDO WIBAWA MUKTI, 3,9 KM SUPERINDO JATIKRAMAT, 4 KM PASAR BANTAR GEBANG, 7,9 KM GIANT JATIWARNS
Fasilitas Kesehatan: 1,4 KM RS. KARTIKA HUSADA, 2,7 KM RS. MITRA KELUARGA PRATAMA JATIASIH, 4,1 KM RS BANTAR GEBANG, 4,7 KM RS. KARYA MEDIKA
2,6 KM KE PINTU TOL JATIASIH GATE 2; 7,4 KM KE PINTU TOL JAKASAMPURNA; 8,5 KM KE PINTU TOL BEKASI TIMUR 2; 8,2 KM KE PINTU TOL BEKASI BARAT;10 KM KE STASIUN KRANJI DAN STASIUN BEKASI",,,,,,,,,,,,
06-12-2021,84,168,4,3,,1,Kota Bekasi,HGB,1300,,925000000,Rumah krem harga murah di Taman Wisma Asri 2 dekat Sumarecon Bekasi - Dijual: Rumah & Apartemen - 849295145 (olx.co.id),"Adanya angkot k09 Babelan ke Terminal Bekasi, dekat sarana Pendidikan Swasta dan Negri, dekat ke Pusat Pemerintahan  Kelurahan Kebalen, Dekat ke Pasar Tradisional Wisma Asri, Mudah ke Stasiun Bekasi dan Terminal Bekasi",,,,,,,,,,,,
06-12-2021,77,60,2,2,,1,Kota Bekasi,SHM,1300,,595000000,Rumah Bagus Full Renov di Harapan Indah Bekasi - Dijual: Rumah & Apartemen - 849293743 (olx.co.id),"Rumah Bagus Full Renov di Harapan Indah Bekasi, Harga jual 595jt nepis",,,,,,,,,,,,
06-12-2021,245,117,3,2,,,Kota Bekasi,SHM,2200,Timur,2750000000,https://www.rumah123.com/properti/bekasi/hos9115579/,"Rumah 1 lantai Hook, Lokasi yang Strategis dekat dengan mall Grand kamala lagoon, mall MM, GMM, GGP, kuliner, rumah sakit, sekolah, rumah ibadah, minimarket, supermarket, dll Akses jalan yg mudah",,,,,,,,,,,,
06-12-2021,296,200,4,2,,,Kota Bekasi,SHM,5500,,2300000000,https://www.rumah123.com/properti/bekasi/hos8451187/,"Rumah Hoek dalam cluster Aralia, Rumah hadap timur dan menghadap taman.Bonus AC dan furnish yang nempel ditinggal.",,,,,,,,,,,,
06-12-2021,200,250,4,3,1,1,Kota Bekasi,SHM,2200,Selatan,2300000000,https://www.rumah123.com/properti/bekasi/hos9251067/,"rumah mewah dalam cluster eksklusif di harapan indah regency, One gate sistem dg security 24 jam, Bebas banjir, Lokasi terdepan dan strategis dekat dengan clubhouse harapan indah, sentra kuliner, rumah ibadah, rumah sakit, bank , settle busway dan pasar .
",,,,,,,,,,,,
06-12-2021,60,55,2,1,1,1,Kota Bekasi,SHM,1300,Barat,600000000,https://www.rumah123.com/properti/bekasi/hos9292226/,"Dijual Rumah Pesona Anggrek Harapan Bekasi Utara, selling point; bebas banjir, dekat Stasiun Bekasi, dekat perumahan Harapan Indah, ada sport ceter di dalam perumahan ",,,,,,,,,,,,
06-12-2021,60,40,2,1,1,1,Kabupaten Bekasi,SHM,1300,,385000000,https://www.rumah123.com/properti/bekasi/hos9289267/,"Dijual rumah daerah dekat grand Wisata bekasi siap huni, dekat dengan semua fasilitas kebutuhan sehari-hari dan cocok untuk hunian keluarga.",,,,,,,,,,,,
06-12-2021,94,145,4,2,,1,Kota Bekasi,SHM,2200,Selatan,825000000,https://www.rumah123.com/properti/bekasi/hos9288466/,"Dijual rumah 2 lantai siap huni luas 94m2 type 4KT Harapan Indah Bekasi, AIr : PAM, Hadap : Selatan
",,,,,,,,,,,,
06-12-2021,84,75,2,2,,,Kota Bekasi,SHM,2200,Selatan,990000000,https://www.rumah123.com/properti/bekasi/hos9287739/,"lokasi strategis, lingkungan aman dan nyaman, akses dekat dengan sarana dan prasarana umum, bangunan bagus dan terawat, siap huni",,,,,,,,,,,,
06-12-2021,66,144,3,2,,,Kota Bekasi,SHM,2200,,1600000000,https://www.rumah123.com/properti/bekasi/hos9287835/,"AKSES TOL BARAT, 10 MENIT KE RS BELLA, 15 MENIT KE RS MEKARSARI, 15 MENIT KE TRANSMART, 20 MENIT KE MM BEKASI, GIANT, BCP, BANYAK SEKOLAH DARI TK-SMA SWASTA ATAUPUN NEGRI",,,,,,,,,,,,
06-12-2021,88,170,4,2,,,Kota Bekasi,SHM,1300,,600000000,https://www.rumah123.com/properti/bekasi/hos9286965/,"Perumahan sebelah Rumah Sakit Tiara, 15 menit ke Summarecon Mall Bekasi, 20 menit ke Stasiun Bekasi, 25 menit ke Mall Metropolitan, Mega Bekasi & Bekasi Cyber Park.,  30 menit ke Tol Bekasi Barat",,,,,,,,,,,,
06-12-2021,60,40,2,1,1,1,Kota Bekasi,SHM,1300,Timur,375000000,https://www.rumah123.com/properti/bekasi/hos9287125/,"Dekat jalan raya, Dekat fasilitas umum seperti, dekat rumah sakit, dekat sekolah, dekat pasar, dekat restoran, dekat minimarket dan Supermarket",,,,,,,,,,,,
06-12-2021,97,90,3,1,,1,Kota Bekasi,SHM,2200,Utara,825000000,https://www.rumah123.com/properti/bekasi/hos9292153/,"Dijual rumah di Tytian Kencana Kota Bekasi, bebas banjir, row 2 mobil, keamanan 24 jam",,,,,,,,,,,,
06-12-2021,78,140,3,1,,1,Kota Bekasi,HGB,1300,Selatan,590000000,https://www.rumah123.com/properti/bekasi/hos9291356/,"Fasilitas lengkap dengan adanya sekolah, rumah sakit, pasar, mesjid, minimarket dan kuliner sekitarnya. Akses dekat ke Toll Bekasi Timur, Stasiun Bekasi, transjakarta dan angkutan umum lainnya.",,,,,,,,,,,,
06-12-2021,60,55,2,1,1,,Kabupaten Bekasi,SHM,900,Timur,160000000,https://rumahdijual.com/8986218,"Lokasi sangat strategis, jarak 10 menit'an dari stasiun Kereta Tambun, 15-20 menit ke pintu tol Bekasi, pemukiman padat penduduk sangat cocok untuk buka usaha rumahan seperti warung dan toko dan bebas banjir.",,,,,,,,,,,,
