created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
6-12-2021,165,200,4,2,,1,Sukmajaya,SHM,2200,Selatan,2100,https://www.rumah123.com/properti/depok/hos9287804/,Rumah siap huni komplek Pelni,,,,,,,,,,,,
6-12-2021,50,45,2,1,,,Cipayung,SHM,1300,,250,https://www.rumah123.com/properti/depok/hos9287973/,rumah minimalis termurah di citayam,,,,,,,,,,,,
6-12-2021,50,36,2,1,,1,Sawangan,SHM,1300,Barat,250,https://www.rumah123.com/properti/depok/hos9287936/,CLUSTER TERMURAH DI SAWANGAN KOTA DEPOK,,,,,,,,,,,,
6-12-2021,50,45,2,1,,,Cimanggis,SHM,1300,,250,https://www.rumah123.com/properti/depok/hos9287931/,RUMAH SIAP HUNI HARGA NEGO DEKAT STASIUN CITAYAM,,,,,,,,,,,,
6-12-2021,72,45,2,1,,1,Sawangan,SHM,1300,Timur,350,https://www.rumah123.com/properti/depok/hos9287917/,Rumah Cluster Siap Huni Depok,,,,,,,,,,,,
6-12-2021,40,30,2,1,,,Cipayung,SHM,1300,,130,https://www.rumah123.com/properti/depok/hos9287821/,Promo akhir tahun rumah cantik dijual murah mulai dari harga 130jtan!,,,,,,,,,,,,
6-12-2021,50,45,2,1,,,Sawangan,SHM,1300,,250,https://www.rumah123.com/properti/depok/hos9287796/,rumah nyaman harga aman strategis nego,,,,,,,,,,,,
6-12-2021,45,115,2,1,,1,Cipayung,SHM,1300,,405,https://www.rumah123.com/properti/depok/hos9287771/,RUMAH BARU DEKAT STASIUN DAN JALAN UTAMA CITAYAM! survey yukk,,,,,,,,,,,,
6-12-2021,36,60,2,1,,1,Cipayung,SHM,1300,,215,https://www.rumah123.com/properti/depok/hos9287696/,Rumah baru dan ready di bojong gede tajur halang sasak panjang bogor,,,,,,,,,,,,
6-12-2021,87,72,3,2,,2,Sawangan,SHM,2200,Selatan,865,https://www.rumah123.com/properti/depok/hos9287672/,rumah bagus harga ekonomis depok,,,,,,,,,,,,
6-12-2021,72,48,2,1,,,Sawangan,SHM,1300,Timur,470,https://www.rumah123.com/properti/depok/hos9287441/,CLuster Cantik Sawangan Harga All in biaya surat surat,,,,,,,,,,,,
6-12-2021,210,250,4,4,1,1,Cimanggis,SHM,,Utara,2100,https://www.rumah123.com/properti/depok/hos9288007/,RUMAH DALAM KOMPLEK BESAR. JLN LEBAR. DEPOK,,,,,,,,,,,,
6-12-2021,60,45,2,1,1,1,Cipayung,SHM,1300,Utara,480,https://www.rumah123.com/properti/depok/hos9288095/,rumah dengan akses jalan raya,,,,,,,,,,,,
6-12-2021,70,50,2,1,,1,Sawangan,SHM,1300,Barat Daya,530,https://www.rumah123.com/properti/depok/hos9288030/,Rumah Cluster Siap Huni Depok,,,,,,,,,,,,
6-12-2021,200,150,3,2,1,1,Cinere,SHM,2200,,2000,https://www.rumah123.com/properti/depok/hos9287926/,"BEBAS BANJIR SEPANJANG MASA, BUKIT CINERE INDAH DLM KOMPL S.HUNI.AMAN, SEJUK",,,,,,,,,,,,
6-12-2021,57,40,2,1,1,1,Sawangan,SHM,1300,Utara,390,https://www.rumah123.com/properti/depok/hos9287981/,cluster di sawangan dengan cicilan rendah,,,,,,,,,,,,
6-12-2021,60,40,2,1,,1,Cimanggis,SHM,1300,Timur,499,https://www.rumah123.com/properti/depok/hos9287080/,RUMAH DI CIBUBUR CIKEAS DP RINGAN CICILAN FLATT SAMPAI LUNAS TIDAK BANJIR DEKET TOL DAN LRT,,,,,,,,,,,,
6-12-2021,100,66,3,2,,,Sukmajaya,SHM,1300,,964,https://www.rumah123.com/properti/depok/hos9287096/,Dijual Rumah Cluster Di GDC Sukmajaya Depok type 66/100,,,,,,,,,,,,
6-12-2021,97,45,2,2,,2,Sawangan,SHM,,,800,https://www.rumah123.com/properti/depok/hos9287091/,New Diamond,,,,,,,,,,,,
6-12-2021,50,36,2,1,,,Sawangan,SHM,,,260,https://www.rumah123.com/properti/depok/hos9287474/,Rumah Murah Dekat Stasiun dan Tol di Depok Sawangan.,,,,,,,,,,,,
6-12-2021,112,109,3,4,,,Sawangan,SHM,,,1700,https://www.rumah123.com/properti/depok/hos9287465/,Rumah 2 Lantai 2 Bangunan Gaya Art Deco di Kota Mandiri Baru,,,,,,,,,,,,
6-12-2021,84,73,2,2,,2,Sawangan,SHM,2200,,1200,https://www.rumah123.com/properti/depok/hos9287456/,Sutera Sawangan,,,,,,,,,,,,
5-12-2021,75,54,2,1,1,1,Cipayung,SHM,1300,Utara,450,https://www.rumah123.com/properti/depok/hos9277876/,Rumah Luas Murah Lokasi Cipayung Deok Dekat Stasiun Citayam dan stasiun depok lama,,,,,,,,,,,,
