created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
12-06-2021,60,50,3,2,,,"BSD CITY, TANGERANG",SHM,1300,Selatan,500,https://www.rumah123.com/properti/tangerang/hos9276294/,"Rumah 2 Lantai Akses Strategis, Keamanan 24jam,One gate system. Memiliki fasilitas terdekat yaitu,15 Menit Stasiun rawa buntu,10 Menit Stasiun sudimara, 5 Menit Tol BSD Tol Jorr, 15 Menit Mall AEON, 10 Menit Rs Eka Hospital, 3 Menit RSIA BUAH HATI, 3 Menit RS permata pamulang, 8 Menit RSUD TANGSEL, 5 Menit Kantor WALIKOTA, Akses zonasi sekolah SMAN 2 TANGSEL",,,,,,,,,,,,
12-06-2021,72,54,2,1,1,1,"CISAUK, TANGERANG",SHM,1300,,480,https://www.rumah123.com/properti/tangerang/hos2510851/,"lokasi strategis dekat gading serpong, dekat aeon mall, dekat kampus Atmajaya, dekat bsd, dekat stasiun cisauk, dekat pasar modern, dekat pom bensin. Harga 480 juta nego tipis
hub waty
hp/wa 0878 8644 3xxx
081381626xxx
Sagentus indonesia",,,,,,,,,,,,
12-06-2021,60,48,3,2,2,2,"CILEDUG, TANGERANG",SHM,2200,,600,https://www.rumah123.com/properti/tangerang/hos9292316/,"Boston Village Bintaro, Cluster dengan konsep free design suka-suka, lokasi strategis dekat akses toll dan stasiun. Promo khusus minggu ini sebelum naik harga, payment only, dekat pasar modern BSD, teras kota, ocean park BSD, Sekolah Santa Ursula , Al-Azhar, RS Eka Hospital, Bunda Dalima, Medika BSD dan RIS Hospital. Promo Super Menarik Pembelian Unit Di Minggu Ini
Info Hubungi
Ahmad Bustomi Hardi / Tommy
",,,,,,,,,,,,
12-06-2021,200,225,5,4,,,"LIPPO KARAWACI, TANGERANG",SHM,5500,,4250,https://www.rumah123.com/properti/tangerang/hos8607319/,"DIJUAL RUMAH BARU SELESAI DIBANGUN, LIPPO KARAWACI CENTRAL CLUSTER TAMAN BROMO memiliki kolam renang, memiliki 2 Lantai, AC 7 unit ",,,,,,,,,,,,
12-06-2021,76,123,3,3,,2,"PONDOK CABE, TANGERANG",SHM,2200,,1700,https://www.rumah123.com/properti/tangerang/hos9292695/,"diapit oleh 3 tol besar, JOR 2, Cinere-Jagorawi, dan Cinere-Serpong. Berlokasi kurang dari 5 menit dengan Lapangan terbang Pondok Cabe, 10 menit ke TransJakarta feedeer,
dan 20 menit ke MRT Lebak Bulus",,,,,,,,,,,,
12-06-2021,60,36,2,1,,1,"CISAUK, TANGERANG",SHM,1300,,830,https://www.rumah123.com/properti/tangerang/hos9292420/,"memiliki fasilitas berupa kolam renang, jogging track, security 24 jam",,,,,,,,,,,,
12-06-2021,37,72,2,1,1,1,"MAUK, TANGERANG",HGB,2200,,450,https://www.rumah123.com/properti/tangerang/hos9292402/,"Memiliki fasilitas berupa jogging track, security 24 jam",,,,,,,,,,,,
12-06-2021,72,45,2,1,1,1,"SEPATAN, TANGERANG",SHM,1300,Selatan,148,https://www.rumah123.com/properti/tangerang/hos9292346/,"Akses Bandara Soekarno-Hatta, Jalan Row 10 meter, Children Playground, Musollah, bebas banjir",,,,,,,,,,,,
12-06-2021,151,120,2,2,1,1,"CIKUPA CITRA JAYA, TANGERANG",SHM,1300,Selatan,760,https://www.rumah123.com/properti/tangerang/hos9292199/,"Lokasi rumah sangat strategis dekat fasilitas pendidikan, mall,Hospital, restoran, dan tempat perbelanjaan (Lengkap dengan Fasilitas),
dekat dengan Universitas ternama ( Universitas ESA Unggul), Area bebas banjir, Harga rumah dijual di Citra Raya sangat bersaing (nilai jual tiap tahun selalu naik),
Potensi kenaikan harga properti per tahunnya (return of investment) 10%",,,,,,,,,,,,
12-06-2021,160,160,3,2,,,"CIKUPA CITRA JAYA, TANGERANG",SHM,3500,Utara,1200,https://www.rumah123.com/properti/tangerang/hos9292171/,"Memiliki fasilitas AC, Masjid, Taman, Keamanan, dan Jogging Track",,,,,,,,,,,,
12-06-2021,60,48,3,2,2,2,"PONDOK JAGUNG, TANGERANG",SHM,2200,Tenggara,600,https://www.rumah123.com/properti/tangerang/hos9292105/,"Memiliki lokasi yang strategis yaitu 100 meter Ke Stasiun K.A rawa buntu, dekat dengan sarana ibadah/masji, dekat Pintu Masuk Toll dan Keluar Toll Parigi, Kunciran dan Bsd",,,,,,,,,,,,
12-06-2021,180,130,3,2,,,"PASAR KEMIS, TANGERANG",SHM,2200,,1500,https://www.rumah123.com/properti/tangerang/hos9291905/,Rumah Bagus Siap Huni Murah Cluster Alam Suvarna Sutera,,,,,,,,,,,,
12-06-2021,78,130,2,2,,,"CISAUK, TANGERANG",SHM,2200,,980,https://www.rumah123.com/properti/tangerang/hos9291581/,"Rumah Bagus Siap Huni Murah Cluster Alam Suvarna Sutera
Lt: 180m² (9x 20), Lb:130m², Kt: 3+1, Km: 3, Sertifikat: SHM, Harga 1.5M
Untuk menjadi orang pertama yang mendapatkan info rumah murah sekitar suvarna sutera dan janji survey bisa langsung saja dengan Darryus Era Fiesta dan jangan lupa catat nomor hp nya",,,,,,,,,,,,
12-06-2021,72,40,2,1,1,1,"CIKUPA CITRA JAYA, TANGERANG",SHM,1300,Timur,500,https://www.rumah123.com/properti/tangerang/hos9291877/,Keamanan 24 jam dan sangat strategis,,,,,,,,,,,,
